Fps,Vertices,Metallic,Smoothness,ShallowWaterDepth,DeepWaterDepth,RefractionScale,RefractionSpeed,RefractionStrength,FoamScale,FoamAmount,FoamCutoff,FoamSpeed,NormalWaveBias,BigNormalWaveTiling,SmallNormalWaveTiling,WaveBias,BigWaveMovementScale,SmallWaveMovementScale,WaveSpeed,WaveStrength,WaveColourSharpness,WaveFoamCutoff
73.64661,263169,0.5,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,1,2,0.1,1500,1,0.7
78.71675,263169,1.05,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,1,2,0.1,1500,1,0.7
92.19548,263169,0.28,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,1,2,0.1,1500,1,0.7
75.75147,263169,1.01,0.75,5,10,3,0.05,0.5,170,1,2,1,0.5,4,7,0.5,1,2,0.1,1500,1,0.7
